"index","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta","AAPL_Adj._Open","AAPL_Adj._High","AAPL_Adj._Low","AAPL_Adj._Close","AAPL_Adj._Volume","AAPL_25-day_Adj._Close_MA","AAPL_100-day_Adj._Close_MA","GOOG_Daily_Adj._Open-Adj._Close_P_Delta","GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta","GOOG_Adj._Open","GOOG_Adj._High","GOOG_Adj._Low","GOOG_Adj._Close","GOOG_Adj._Volume","GOOG_25-day_Adj._Close_MA","GOOG_100-day_Adj._Close_MA","MSFT_Daily_Adj._Open-Adj._Close_P_Delta","MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta","MSFT_Adj._Open","MSFT_Adj._High","MSFT_Adj._Low","MSFT_Adj._Close","MSFT_Adj._Volume","MSFT_25-day_Adj._Close_MA","MSFT_100-day_Adj._Close_MA","INTC_Daily_Adj._Open-Adj._Close_P_Delta","INTC_AfterHours_Adj._Close-Adj._Open_P_Delta","INTC_Adj._Open","INTC_Adj._High","INTC_Adj._Low","INTC_Adj._Close","INTC_Adj._Volume","INTC_25-day_Adj._Close_MA","INTC_100-day_Adj._Close_MA"
165813,0.0001619237,-0.0047069236,-0.0014955538,32.3442077027,32.6786189905,31.8211207857,32.1919659881,187636400,30.4600272878,27.4778740314,0,0,0,0,0,0,0,0,0,-0.0038973693,0.0032605152,25.696987665,25.8555595278,25.5384158022,25.5968370148,88703100,24.8606462769,24.628479619,-0.0058187864,-0.0004180602,19.24264272,19.3226204537,19.0107072924,19.1306738929,102974900,17.9609963389,16.5685613133
170133,-0.015892814,0.0001619237,0.0059497308,32.1438211723,32.2557253387,31.459384062,32.1490260173,141731100,30.5665704638,27.5392261412,0,0,0,0,0,0,0,0,0,0.0087422814,0.0058313734,25.68029589,26.0808984908,25.6719500024,25.9048002642,64970300,24.919701777,24.6414508278,0.0037641154,0.0083333333,19.1226761195,19.2266471733,18.8267585049,19.1946560798,71310800,18.0483320241,16.6078524235
171573,0.0016035239,-0.015892814,0.0581176663,32.340304069,32.4326900668,31.6135775935,31.8263256307,184581600,30.6745709964,27.5895960282,0,0,0,0,0,0,0,0,0,0.0044843049,-0.0009566327,26.0558608282,26.2394703536,25.9807478406,26.1727032535,52199500,24.9888057256,24.6544425732,-0.0033057851,-0.0008291874,19.3546115471,19.394600414,19.1146783461,19.2906293602,65991400,18.1427057498,16.6468337825
173013,0.0318676425,0.0016035239,-0.0037805725,33.6759974032,33.8640224268,33.275874948,33.7299976695,245597800,30.8555434552,27.6608763797,0,0,0,0,0,0,0,0,0,6.38366E-05,-0.0093195455,26.1476655909,26.2895456787,26.0642067157,26.1493347684,55343100,25.0543042508,24.6674498675,-0.0124481328,-0.0105042017,19.2746338135,19.2986271336,18.8267585049,19.0347006125,73899300,18.1999698071,16.6833351969
174453,0.0105974104,0.0318676425,0.0057060939,33.6024789683,34.7098097305,33.3370318761,34.6733107553,198356200,31.0759660362,27.7419151649,0,0,0,0,0,0,0,0,0,0.0112757732,-0.0086014654,25.9056348529,26.3145833412,25.7887924277,26.197740916,84847600,25.113059299,24.6819381582,0.0186836518,-0.0016673614,18.8347562783,19.24264272,18.6468086042,19.1866583064,73666100,18.2558742429,16.7217529019
175893,-0.008753862,0.0105974104,0.0038769708,34.8711599238,35.4163674318,34.7423400114,35.2407039149,199238900,31.3163257758,27.8333122422,0,0,0,0,0,0,0,0,0,-0.0051413882,0.0012919897,25.972401953,26.3563127788,25.5801452397,25.8388677528,126766600,25.1581270916,24.6975731587,0.0037578288,0.0016638935,19.154667213,19.24264272,18.9787161989,19.2266471733,56963700,18.3147378549,16.7623953788
180213,-0.0195682269,-0.008753862,-0.0082745826,35.3773310947,35.4528013465,34.8971841485,35.0676428205,119767200,31.5622552199,27.9238635321,0,0,0,0,0,0,0,0,0,0.0035483871,-0.0051430408,25.8722513028,26.1017632096,25.7554088776,25.9640560655,63649300,25.2088700877,24.7128815618,-0.0107973422,-0.0037783375,19.2586382667,19.2986271336,19.0426983858,19.0506961592,57727600,18.3732015782,16.8005642608
181653,-0.0062678063,-0.0195682269,0.0046176156,34.7774727148,34.8516417553,33.8991551302,34.0969392381,177335900,31.756343888,28.0085333473,0,0,0,0,0,0,0,0,0,-0.0033925687,0.0024315124,25.8305218653,26.0808984908,25.6630199028,25.7428900463,68730900,25.2504326075,24.7209936297,-0.016013485,0.0025695931,18.9787161989,19.0946839127,18.6348119441,18.674800811,78937600,18.408711692,16.8313244229
183093,0.0213671964,-0.0062678063,0.0054281346,34.2543857978,34.3519766405,33.3643573121,34.0396859437,189600600,31.9293529339,28.0935935258,0,0,0,0,0,0,0,0,0,-0.0003234153,0.0006470398,25.8054842027,25.8722513028,25.5551075772,25.7971383152,64557900,25.2848176641,24.7315589724,-0.0064075182,0.0030094583,18.7227874512,18.762776318,18.3228987829,18.6028208507,109052100,18.4275064594,16.8608887289
184533,-0.0305224463,0.0213671964,0.0024940441,34.2244579393,35.1327033823,34.0930356044,34.9557386542,139710200,32.133747195,28.1874889286,0,0,0,0,0,0,0,0,0,0.0023601681,0.0021610812,25.8138300902,26.233878609,25.5968370148,25.8747550691,52665200,25.3299856073,24.742485093,0.0068581226,-0.0017028523,18.6588052642,18.8027651848,18.6348119441,18.7867696381,59059400,18.4614170185,16.8911023815
